source,raw_path,original_path,original_session,v2_session,capture_session,scene_id,v3_filename,v3_path,image_path,label_path,preview_path,image_type,v3_type,target_classes_present,scenario,object_instance_ids,status,laptop_instances,keyboard_instances,cup_instances,sha256,annotation_source,review_status
P01_user,data/raw/P01/S01/P01_S01_CUP_0001.jpg,data/raw/P01/S01/P01_S01_CUP_0001.jpg,S01,S01,S01,light_lab_table,P01_S01_CUP_0001.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0001.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0001.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0001.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0001.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,a751e02e966b1776e7e59f52ccb58f5fa3b608c4d36f00eef4a342fd0436aa42,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S01/P01_S01_CUP_0002.jpg,data/raw/P01/S01/P01_S01_CUP_0002.jpg,S01,S01,S01,light_lab_table,P01_S01_CUP_0002.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0002.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0002.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0002.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0002.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,cc262e7f873e2fe20a75c002a9f250f0e717008862ec470d4b25a05b2854b4cb,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S01/P01_S01_CUP_0003.jpg,data/raw/P01/S01/P01_S01_CUP_0003.jpg,S01,S01,S01,light_lab_table,P01_S01_CUP_0003.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0003.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0003.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0003.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0003.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,8669be39d0d316b19be517386845a5b23bc8076b84458ffd42851f987623e867,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S01/P01_S01_CUP_0004.jpg,data/raw/P01/S01/P01_S01_CUP_0004.jpg,S01,S01,S01,light_lab_table,P01_S01_CUP_0004.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0004.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0004.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0004.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0004.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,2b5edfdcba80428eaac5417301431520666a163cb533d53ada32f7fcca926b8e,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S01/P01_S01_MIX_0010.jpg,data/raw/P01/S01/P01_S01_MIX_0010.jpg,S01,S01,S01,light_lab_table,P01_S01_CUP_0005.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0005.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0005.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0005.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0005.jpg,CUP,CUP,cup,multi,mouse_lab_01;cup_lab_01,included,0,0,1,69ccd00fe43c00caffa75791403a315ff26ae38f91d8bf339f716131917aa43b,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S02/P01_S02_CUP_0001.jpg,data/raw/P01/S02/P01_S02_CUP_0001.jpg,S02,S01,S01,light_lab_table,P01_S01_CUP_0006.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0006.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0006.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0006.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0006.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,9a8a2b9a3bc8455e6fcb88aa44ea0dc26bc2c8b6558ce253f10f88ca714b6dc8,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S02/P01_S02_CUP_0002.jpg,data/raw/P01/S02/P01_S02_CUP_0002.jpg,S02,S01,S01,light_lab_table,P01_S01_CUP_0007.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0007.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0007.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0007.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0007.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,8d0f669157164413d6f699e0cb0148e1cba80242da9dafe386c12bf75ac93e20,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S02/P01_S02_CUP_0007.jpg,data/raw/P01/S02/P01_S02_CUP_0007.jpg,S02,S01,S01,light_lab_table,P01_S01_CUP_0008.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0008.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0008.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0008.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0008.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,0bbd96afdafb616240c50d0b5edeed9b15742841fdd391a0044ad7eccf0a3830,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S02/P01_S02_MIX_0010.jpg,data/raw/P01/S02/P01_S02_MIX_0010.jpg,S02,S01,S01,light_lab_table,P01_S01_CUP_0009.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0009.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0009.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0009.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0009.jpg,CUP,CUP,cup,multi,mouse_lab_01;cup_lab_01,included,0,0,1,5fef7d11aa0d391b6585d6cd9d06dc0333b3a3cc7721b679fd1f28ed8a7a96df,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
P01_user,data/raw/P01/S03/P01_S03_CUP_0020.jpg,data/raw/P01/S03/P01_S03_CUP_0020.jpg,S03,S01,S01,light_lab_table,P01_S01_CUP_0010.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0010.jpg,data/v3/user/images/P01/S01/P01_S01_CUP_0010.jpg,data/v3/user/labels/P01/S01/P01_S01_CUP_0010.txt,data/v3/user/previews/P01/S01/P01_S01_CUP_0010.jpg,CUP,CUP,cup,basic,cup_lab_01,included,0,0,1,8d0f669157164413d6f699e0cb0148e1cba80242da9dafe386c12bf75ac93e20,V2_geometry_reverified_under_V3_ontology,second_visual_review_approved
